COIN_NAME,STRATEGY,START DATE,FINISH DATE,START BALANCE,END BALANCE,% WIN,TRADES NUM
BCH,x2_rsi,2018-09-01 00:33:00,2018-09-01 06:03:00,"100,015442986","101,22327419","1,2076447076",2
BCH,RSI_Bull_Bear_Adx_Stop,2018-09-01 00:33:00,2018-09-02 07:18:00,"100,015442986","107,276538395","7,25997425219",6
BCH,bryanbeck,2018-09-01 00:33:00,2018-09-02 21:18:00,"100,015442986","97,76281225","-2,25228291626",10
BCH,bestone_updated_hardcoded,2018-09-01 00:33:00,2018-09-01 07:48:00,"100,015442986","99,7657786859","-0,249625750476",1
BCH,BodhiDI_public,2018-09-01 00:33:00,2018-09-02 21:48:00,"100,015442986","106,446694744","6,43025873357",11
BCH,BBRSI,2018-09-01 00:33:00,2018-09-02 14:33:00,"100,015442986","99,56726802","-0,448105765089",3
BCH,RSI,2018-09-01 00:33:00,2018-09-02 11:03:00,"100,015442986","101,055685953","1,04008234769",3
BCH,DEBUG_single-advice,2018-09-01 00:33:00,2018-09-01 05:25:00,"100,015442986","100,78647824","0,770916201519",2
BCH,tulip-adx,2018-09-01 00:33:00,2018-09-02 19:18:00,"100,015442986","110,88359314","10,8664720462",2
BCH,UO,2018-09-01 00:33:00,2018-09-01 00:48:00,"100,015442986","100,01540838","-3,46006566332e-05",1
BCH,DEBUG_toggle-advice,2018-09-01 00:33:00,2018-09-03 00:03:00,"100,015442986","90,3965236564","-9,61743411058",64
BCH,FIXPRICE,2018-09-01 00:33:00,2018-09-01 00:48:00,"100,015442986","99,7654469993","-0,249957385823",1
BCH,EMACrossover,2018-09-01 00:33:00,2018-09-01 09:03:00,"100,015442986","99,7658179993","-0,24958644314",1
LTC,NEO,2018-09-01 00:34:00,2018-09-02 16:49:00,"100,00177552","98,32653524","-1,6752105363",2
LTC,DI,2018-09-01 00:34:00,2018-09-02 23:34:00,"100,00177552","96,9364451958","-3,06527589963",13
LTC,StochRSI,2018-09-01 00:34:00,2018-09-03 00:34:00,"100,00177552","97,8227988281","-2,17893800442",16
LTC,RSI_BB_ADX_Peak,2018-09-01 00:34:00,2018-09-01 08:34:00,"100,00177552","99,7518103999","-0,249960681952",1
LTC,TMA,2018-09-01 00:34:00,2018-09-02 07:49:00,"100,00177552","99,05380958","-0,947949108974",3
LTC,RsiStopLoss,2018-09-01 00:34:00,2018-09-01 00:49:00,"100,00177552","99,751779","-0,249992081365",1
LTC,DynBuySell,2018-09-01 00:34:00,2018-09-01 01:04:00,"100,00177552","99,7517869999","-0,249984081553",1
LTC,RSI_BULL_BEAR,2018-09-01 00:34:00,2018-09-01 04:34:00,"100,00177552","99,7517969999","-0,24997408175",1
LTC,buyatsellat_ui,2018-09-01 00:34:00,2018-09-01 00:49:00,"100,00177552","99,751779","-0,249992081365",1
LTC,DEMACrossover,2018-09-01 00:34:00,2018-09-02 04:19:00,"100,00177552","100,283882349","0,282101820198",3
LTC,TSI,2018-09-01 00:34:00,2018-09-02 02:04:00,"100,00177552","99,7517780737","-0,249993007671",2
LTC,PPO,2018-09-01 00:34:00,2018-09-02 14:04:00,"100,00177552","97,3199381306","-2,68178977368",9
LTC,custom,2018-09-01 00:34:00,2018-09-02 22:34:00,"100,00177552","94,65403387","-5,34764670146",17
LTC,Dave,2018-09-01 00:34:00,2018-09-02 18:49:00,"100,00177552","101,00097324","0,99917997936",4
LTC,RSI_BULL_BEAR_ADX_PINGPONG,2018-09-01 00:34:00,2018-09-01 16:04:00,"100,00177552","102,569763863","2,56794274826",5
LTC,Supertrend_Gab0,2018-09-01 00:34:00,2018-09-02 23:34:00,"100,00177552","95,7004759729","-4,30122317798",13
LTC,x2_rsi,2018-09-01 00:34:00,2018-09-01 00:49:00,"100,00177552","99,751779","-0,249992081365",1
LTC,RSI_Bull_Bear_Adx_Stop,2018-09-01 00:34:00,2018-09-01 06:34:00,"100,00177552","99,7518015999","-0,249969481795",1
LTC,bryanbeck,2018-09-01 00:34:00,2018-09-03 00:34:00,"100,00177552","99,0937198225","-0,908039575121",9
LTC,bestone_updated_hardcoded,2018-09-01 00:34:00,2018-09-01 07:49:00,"100,00177552","99,75181","-0,249961081925",1
LTC,BodhiDI_public,2018-09-01 00:34:00,2018-09-02 23:34:00,"100,00177552","96,9364451958","-3,06527589963",13
